strain,T-45,T-20,T0,T23,T27,T30,T60,T70,T80,T100
0.098,979.1482631,587.1482631,234.3482631,204.9482631,195.1482631,185.3482631,146.1482631,121.6482631,97.14826314,48.14826314
0.099,990.3849811,594.3849811,237.9849811,208.2849811,198.3849811,188.4849811,148.8849811,124.1349811,99.38498114,49.88498114
0.1,1000.492448,600.4924478,240.4924478,210.4924478,200.4924478,190.4924478,150.4924478,125.4924478,100.4924478,50.49244778
0.101,1011.037828,607.0378285,243.4378285,213.1378285,203.0378285,192.9378285,152.5378285,127.2878285,102.0378285,51.53782848
0.102,1020.615154,612.6151542,245.4151542,214.8151542,204.6151542,194.4151542,153.6151542,128.1151542,102.6151542,51.61515417
0.103,1028.466417,616.4664165,245.6664165,214.7664165,204.4664165,194.1664165,152.9664165,127.2164165,101.4664165,49.96641653
0.104,1038.466265,622.4662652,248.0662652,216.8662652,206.4662652,196.0662652,154.4662652,128.4662652,102.4662652,50.46626525
0.105,1049.111855,629.1118552,251.1118552,219.6118552,209.1118552,198.6118552,156.6118552,130.3618552,104.1118552,51.61185519
0.106,1058.208607,634.2086074,252.6086074,220.8086074,210.2086074,199.6086074,157.2086074,130.7086074,104.2086074,51.20860735
0.107,1069.565419,641.5654192,256.3654192,224.2654192,213.5654192,202.8654192,160.0654192,133.3154192,106.5654192,53.06541922
0.108,1079.689315,647.6893154,258.8893154,226.4893154,215.6893154,204.8893154,161.6893154,134.6893154,107.6893154,53.6893154
0.109,1090.37423,654.3742299,261.9742299,229.2742299,218.3742299,207.4742299,163.8742299,136.6242299,109.3742299,54.87422988
0.11,1103.919273,663.9192731,267.9192731,234.9192731,223.9192731,212.9192731,168.9192731,141.4192731,113.9192731,58.91927308
0.111,1108.573521,664.5735211,264.9735211,231.6735211,220.5735211,209.4735211,165.0735211,137.3235211,109.5735211,54.07352113
0.112,1121.412985,673.412985,270.212985,236.612985,225.412985,214.212985,169.412985,141.412985,113.412985,57.41298496
0.113,1128.596978,676.5969776,269.7969776,235.8969776,224.5969776,213.2969776,168.0969776,139.8469776,111.5969776,55.09697763
0.114,1136.498254,680.4982543,270.0982543,235.8982543,224.4982543,213.0982543,167.4982543,138.9982543,110.4982543,53.49825429
0.115,1153.136936,693.1369359,279.1369359,244.6369359,233.1369359,221.6369359,175.6369359,146.8869359,118.1369359,60.63693592
0.116,1161.388074,697.3880744,279.7880744,244.9880744,233.3880744,221.7880744,175.3880744,146.3880744,117.3880744,59.3880744
0.117,1170.696759,702.6967592,281.4967592,246.3967592,234.6967592,222.9967592,176.1967592,146.9467592,117.6967592,59.19675919
0.118,1179.601057,707.6010571,282.8010571,247.4010571,235.6010571,223.8010571,176.6010571,147.1010571,117.6010571,58.60105708
0.119,1189.883662,713.883662,285.483662,249.783662,237.883662,225.983662,178.383662,148.633662,118.883662,59.38366202
0.12,1198.888081,718.8880806,286.8880806,250.8880806,238.8880806,226.8880806,178.8880806,148.8880806,118.8880806,58.88808059
0.121,1211.712071,727.7120712,292.1120712,255.8120712,243.7120712,231.6120712,183.2120712,152.9620712,122.7120712,62.2120712
0.122,1221.016544,733.0165435,293.8165435,257.2165435,245.0165435,232.8165435,184.0165435,153.5165435,123.0165435,62.01654355
0.123,1230.527809,738.5278095,295.7278095,258.8278095,246.5278095,234.2278095,185.0278095,154.2778095,123.5278095,62.02780946
0.124,1238.030172,742.0301724,295.6301724,258.4301724,246.0301724,233.6301724,184.0301724,153.0301724,122.0301724,60.03017239
0.125,1246.639828,746.6398282,296.6398282,259.1398282,246.6398282,234.1398282,184.1398282,152.8898282,121.6398282,59.13982821
0.126,1259.853024,755.853024,302.253024,264.453024,251.853024,239.253024,188.853024,157.353024,125.853024,62.85302397
0.127,1266.984713,758.9847128,301.7847128,263.6847128,250.9847128,238.2847128,187.4847128,155.7347128,123.9847128,60.48471285
0.128,1280.726827,768.7268273,307.9268273,269.5268273,256.7268273,243.9268273,192.7268273,160.7268273,128.7268273,64.72682734
0.129,1287.940481,771.9404812,307.5404812,268.8404812,255.9404812,243.0404812,191.4404812,159.1904812,126.9404812,62.44048122
0.13,1302.067364,782.0673639,314.0673639,275.0673639,262.0673639,249.0673639,197.0673639,164.5673639,132.0673639,67.06736387
0.131,1308.82843,784.8284299,313.2284299,273.9284299,260.8284299,247.7284299,195.3284299,162.5784299,129.8284299,64.3284299
0.132,1320.780333,792.7803328,317.5803328,277.9803328,264.7803328,251.5803328,198.7803328,165.7803328,132.7803328,66.78033278
0.133,1328.240453,796.2404525,317.4404525,277.5404525,264.2404525,250.9404525,197.7404525,164.4904525,131.2404525,64.74045251
0.134,1339.264343,803.2643432,320.8643432,280.6643432,267.2643432,253.8643432,200.2643432,166.7643432,133.2643432,66.26434324
0.135,1349.13832,809.13832,323.13832,282.63832,269.13832,255.63832,201.63832,167.88832,134.13832,66.63832001
0.136,1357.735871,813.7358713,324.1358713,283.3358713,269.7358713,256.1358713,201.7358713,167.7358713,133.7358713,65.73587126
0.137,1370.673289,822.6732886,329.4732886,288.3732886,274.6732886,260.9732886,206.1732886,171.9232886,137.6732886,69.17328855
0.138,1379.417512,827.4175125,330.6175125,289.2175125,275.4175125,261.6175125,206.4175125,171.9175125,137.4175125,68.41751246
0.139,1391.316277,835.3162773,334.9162773,293.2162773,279.3162773,265.4162773,209.8162773,175.0662773,140.3162773,70.81627726
0.14,1399.436025,839.4360248,335.4360248,293.4360248,279.4360248,265.4360248,209.4360248,174.4360248,139.4360248,69.43602475
0.141,1409.636783,845.6367826,338.0367826,295.7367826,281.6367826,267.5367826,211.1367826,175.8867826,140.6367826,70.13678265
0.142,1419.022095,851.0220947,339.8220947,297.2220947,283.0220947,268.8220947,212.0220947,176.5220947,141.0220947,70.02209471
0.143,1429.509833,857.5098325,342.7098325,299.8098325,285.5098325,271.2098325,214.0098325,178.2598325,142.5098325,71.00983254
0.144,1439.673203,863.6732029,345.2732029,302.0732029,287.6732029,273.2732029,215.6732029,179.6732029,143.6732029,71.67320294
0.145,1447.58876,867.58876,345.58876,302.08876,287.58876,273.08876,215.08876,178.83876,142.58876,70.08875996
0.146,1458.796579,874.7965793,349.1965793,305.3965793,290.7965793,276.1965793,217.7965793,181.2965793,144.7965793,71.79657927
0.147,1470.838114,882.8381137,353.6381137,309.5381137,294.8381137,280.1381137,221.3381137,184.5881137,147.8381137,74.33811368
0.148,1480.476673,888.4766733,355.6766733,311.2766733,296.4766733,281.6766733,222.4766733,185.4766733,148.4766733,74.47667327
0.149,1491.144276,895.1442764,358.7442764,314.0442764,299.1442764,284.2442764,224.6442764,187.3942764,150.1442764,75.64427636
0.15,1501.18916,901.1891597,361.1891597,316.1891597,301.1891597,286.1891597,226.1891597,188.6891597,151.1891597,76.18915971
0.151,1510.767307,906.7673069,363.1673069,317.8673069,302.7673069,287.6673069,227.2673069,189.5173069,151.7673069,76.26730694
0.152,1520.898068,912.8980684,365.6980684,320.0980684,304.8980684,289.6980684,228.8980684,190.8980684,152.8980684,76.89806837
0.153,1527.502872,915.5028723,364.7028723,318.8028723,303.5028723,288.2028723,227.0028723,188.7528723,150.5028723,74.00287229
0.154,1539.755765,923.755765,369.355765,323.155765,307.755765,292.355765,230.755765,192.255765,153.755765,76.755765
0.155,1551.909525,931.9095251,373.9095251,327.4095251,311.9095251,296.4095251,234.4095251,195.6595251,156.9095251,79.40952508
0.156,1561.145779,937.1457792,375.5457792,328.7457792,313.1457792,297.5457792,235.1457792,196.1457792,157.1457792,79.14577923
0.157,1569.944319,941.9443188,376.7443188,329.6443188,313.9443188,298.2443188,235.4443188,196.1943188,156.9443188,78.44431881
0.158,1578.627599,946.6275987,377.8275987,330.4275987,314.6275987,298.8275987,235.6275987,196.1275987,156.6275987,77.62759866
0.159,1590.563748,954.5637482,382.1637482,334.4637482,318.5637482,302.6637482,239.0637482,199.3137482,159.5637482,80.06374822
0.16,1601.246726,961.2467255,385.2467255,337.2467255,321.2467255,305.2467255,241.2467255,201.2467255,161.2467255,81.24672552
0.161,1607.673571,963.673571,384.073571,335.773571,319.673571,303.573571,239.173571,198.923571,158.673571,78.17357098
0.162,1619.704206,971.7042059,388.5042059,339.9042059,323.7042059,307.5042059,242.7042059,202.2042059,161.7042059,80.70420588
0.163,1629.546469,977.5464693,390.7464693,341.8464693,325.5464693,309.2464693,244.0464693,203.2964693,162.5464693,81.04646932
0.164,1637.445357,981.4453568,391.0453568,341.8453568,325.4453568,309.0453568,243.4453568,202.4453568,161.4453568,79.44535681
0.165,1648.604854,988.6048535,394.6048535,345.1048535,328.6048535,312.1048535,246.1048535,204.8548535,163.6048535,81.10485354
0.166,1658.216671,994.2166711,396.6166711,346.8166711,330.2166711,313.6166711,247.2166711,205.7166711,164.2166711,81.21667111
0.167,1669.392415,1001.392415,400.1924149,350.0924149,333.3924149,316.6924149,249.8924149,208.1424149,166.3924149,82.89241486
0.168,1680.892642,1008.892642,404.0926423,353.6926423,336.8926423,320.0926423,252.8926423,210.8926423,168.8926423,84.89264229
0.169,1689.377989,1013.377989,404.9779891,354.2779891,337.3779891,320.4779891,252.8779891,210.6279891,168.3779891,83.87798915
0.17,1701.868199,1021.868199,409.8681985,358.8681985,341.8681985,324.8681985,256.8681985,214.3681985,171.8681985,86.86819852
0.171,1709.006392,1025.006392,409.406392,358.106392,341.006392,323.906392,255.506392,212.756392,170.006392,84.50639204
0.172,1720.82168,1032.82168,413.6216803,362.0216803,344.8216803,327.6216803,258.8216803,215.8216803,172.8216803,86.82168034
0.173,1730.647292,1038.647292,415.8472918,363.9472918,346.6472918,329.3472918,260.1472918,216.8972918,173.6472918,87.14729177
0.174,1738.493596,1042.493596,416.0935965,363.8935965,346.4935965,329.0935965,259.4935965,215.9935965,172.4935965,85.49359649
0.175,1748.203975,1048.203975,418.2039754,365.7039754,348.2039754,330.7039754,260.7039754,216.9539754,173.2039754,85.70397541
0.176,1761.769629,1057.769629,424.1696294,371.3696294,353.7696294,336.1696294,265.7696294,221.7696294,177.7696294,89.76962942
0.177,1769.206937,1061.206937,424.0069372,370.9069372,353.2069372,335.5069372,264.7069372,220.4569372,176.2069372,87.70693716
0.178,1780.054112,1068.054112,427.2541115,373.8541115,356.0541115,338.2541115,267.0541115,222.5541115,178.0541115,89.05411154
0.179,1789.781146,1073.781146,429.3811458,375.6811458,357.7811458,339.8811458,268.2811458,223.5311458,178.7811458,89.28114584
0.18,1799.864088,1079.864088,431.8640875,377.8640875,359.8640875,341.8640875,269.8640875,224.8640875,179.8640875,89.86408751
0.181,1809.333826,1085.333826,433.7338258,379.4338258,361.3338258,343.2338258,270.8338258,225.5838258,180.3338258,89.83382581
0.182,1821.137569,1093.137569,437.9375694,383.3375694,365.1375694,346.9375694,274.1375694,228.6375694,183.1375694,92.13756945
0.183,1828.653742,1096.653742,437.8537418,382.9537418,364.6537418,346.3537418,273.1537418,227.4037418,181.6537418,90.15374182
0.184,1838.877892,1102.877892,440.4778923,385.2778923,366.8778923,348.4778923,274.8778923,228.8778923,182.8778923,90.87789227
0.185,1850.450045,1110.450045,444.4500446,388.9500446,370.4500446,351.9500446,277.9500446,231.7000446,185.4500446,92.95004458
0.186,1861.588512,1117.588512,447.9885122,392.1885122,373.5885122,354.9885122,280.5885122,234.0885122,187.5885122,94.58851224
0.187,1872.265035,1124.265035,451.0650345,394.9650345,376.2650345,357.5650345,282.7650345,236.0150345,189.2650345,95.76503451
0.188,1881.431526,1129.431526,452.6315259,396.2315259,377.4315259,358.6315259,283.4315259,236.4315259,189.4315259,95.43152587
0.189,1890.419808,1134.419808,454.0198081,397.3198081,378.4198081,359.5198081,283.9198081,236.6698081,189.4198081,94.91980809
0.19,1898.665928,1138.665928,454.6659275,397.6659275,378.6659275,359.6659275,283.6659275,236.1659275,188.6659275,93.66592752
0.191,1909.60697,1145.60697,458.0069696,400.7069696,381.6069696,362.5069696,286.1069696,238.3569696,190.6069696,95.10696956
0.192,1921.100299,1153.100299,461.9002992,404.3002992,385.1002992,365.9002992,289.1002992,241.1002992,193.1002992,97.10029921
0.193,1931.608167,1159.608167,464.8081674,406.9081674,387.6081674,368.3081674,291.1081674,242.8581674,194.6081674,98.10816745
0.194,1940.3306,1164.3306,465.9306001,407.7306001,388.3306001,368.9306001,291.3306001,242.8306001,194.3306001,97.33060011
0.195,1947.827611,1167.827611,465.8276109,407.3276109,387.8276109,368.3276109,290.3276109,241.5776109,192.8276109,95.32761092
0.196,1959.50404,1175.50404,469.9040402,411.1040402,391.5040402,371.9040402,293.5040402,244.5040402,195.5040402,97.50404024
0.197,1968.893124,1180.893124,471.6931236,412.5931236,392.8931236,373.1931236,294.3931236,245.1431236,195.8931236,97.39312358
0.198,1979.25924,1187.25924,474.4592402,415.0592402,395.2592402,375.4592402,296.2592402,246.7592402,197.2592402,98.25924022
0.199,1990.365547,1194.365547,477.9655475,418.2655475,398.3655475,378.4655475,298.8655475,249.1155475,199.3655475,99.86554747
0.2,1999.686274,1199.686274,479.6862738,419.6862738,399.6862738,379.6862738,299.6862738,249.6862738,199.6862738,99.68627384
0.201,2010.449141,1206.449141,482.8491414,422.5491414,402.4491414,382.3491414,301.9491414,251.6991414,201.4491414,100.9491414
0.202,2020.671461,1212.671461,485.4714608,424.8714608,404.6714608,384.4714608,303.6714608,253.1714608,202.6714608,101.6714608
0.203,2029.094937,1217.094937,486.294937,425.394937,405.094937,384.794937,303.594937,252.844937,202.094937,100.594937
0.204,2038.817638,1222.817638,488.4176377,427.2176377,406.8176377,386.4176377,304.8176377,253.8176377,202.8176377,100.8176377
0.205,2049.214295,1229.214295,491.2142947,429.7142947,409.2142947,388.7142947,306.7142947,255.4642947,204.2142947,101.7142947
0.206,2058.608696,1234.608696,493.0086961,431.2086961,410.6086961,390.0086961,307.6086961,256.1086961,204.6086961,101.6086961
0.207,2070.906578,1242.906578,497.7065779,435.6065779,414.9065779,394.2065779,311.4065779,259.6565779,207.9065779,104.4065779
0.208,2080.344649,1248.344649,499.5446486,437.1446486,416.3446486,395.5446486,312.3446486,260.3446486,208.3446486,104.3446486
0.209,2088.556268,1252.556268,500.1562681,437.4562681,416.5562681,395.6562681,312.0562681,259.8062681,207.5562681,103.0562681
0.21,2098.768811,1258.768811,502.7688106,439.7688106,418.7688106,397.7688106,313.7688106,261.2688106,208.7688106,103.7688106
0.211,2113.152124,1269.152124,509.5521239,446.2521239,425.1521239,404.0521239,319.6521239,266.9021239,214.1521239,108.6521239
0.212,2119.576339,1271.576339,508.3763393,444.7763393,423.5763393,402.3763393,317.5763393,264.5763393,211.5763393,105.5763393
0.213,2130.513029,1278.513029,511.7130291,447.8130291,426.5130291,405.2130291,320.0130291,266.7630291,213.5130291,107.0130291
0.214,2141.215279,1285.215279,514.8152787,450.6152787,429.2152787,407.8152787,322.2152787,268.7152787,215.2152787,108.2152787
0.215,2150.055511,1290.055511,516.0555112,451.5555112,430.0555112,408.5555112,322.5555112,268.8055112,215.0555112,107.5555112
0.216,2159.410045,1295.410045,517.8100446,453.0100446,431.4100446,409.8100446,323.4100446,269.4100446,215.4100446,107.4100446
0.217,2169.782547,1301.782547,520.5825467,455.4825467,433.7825467,412.0825467,325.2825467,271.0325467,216.7825467,108.2825467
0.218,2178.661956,1306.661956,521.8619557,456.4619557,434.6619557,412.8619557,325.6619557,271.1619557,216.6619557,107.6619557
0.219,2191.142227,1315.142227,526.7422269,461.0422269,439.1422269,417.2422269,329.6422269,274.8922269,220.1422269,110.6422269
